,Country Name,Country Code,Indicator Name,2016
0,Africa Eastern and Southern,AFE,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),284380
1,Africa Western and Central,AFW,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),228580
2,Angola,AGO,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),18070
3,Burundi,BDI,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),2090
4,Benin,BEN,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),2670
5,Burkina Faso,BFA,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),9830
6,Botswana,BWA,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),2430
7,Central African Republic,CAF,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),32140
8,Cote d'Ivoire,CIV,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),3680
9,Cameroon,CMR,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),62700
10,"Congo, Dem. Rep.",COD,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),16060
11,"Congo, Rep.",COG,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),1980
12,Comoros,COM,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),50
13,Cabo Verde,CPV,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),80
14,Djibouti,DJI,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),270
15,Algeria,DZA,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),11890
16,"Egypt, Arab Rep.",EGY,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),22130
17,Eritrea,ERI,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),2840
18,Ethiopia,ETH,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),50870
19,Gabon,GAB,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),440
20,Ghana,GHA,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),5900
21,Guinea,GIN,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),7210
22,"Gambia, The",GMB,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),390
23,Guinea-Bissau,GNB,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),770
24,Kenya,KEN,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),18760
25,Liberia,LBR,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),1360
26,Libya,LBY,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),1940
27,Lesotho,LSO,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),790
28,Morocco,MAR,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),7940
29,Madagascar,MDG,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),9170
30,Middle East & North Africa,MEA,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),115790
31,Mali,MLI,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),13730
32,Middle East & North Africa (excluding high income),MNA,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),98310
33,Mozambique,MOZ,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),9780
34,Mauritania,MRT,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),3370
35,Mauritius,MUS,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),240
36,Malawi,MWI,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),3870
37,Namibia,NAM,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),3260
38,Niger,NER,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),11190
39,Nigeria,NGA,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),36210
40,Rwanda,RWA,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),1980
41,Sudan,SDN,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),29670
42,Senegal,SEN,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),7920
43,Sierra Leone,SLE,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),1750
44,Somalia,SOM,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),6680
45,South Sudan,SSD,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),22800
46,Sub-Saharan Africa,SSF,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),512960
47,Eswatini,SWZ,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),430
48,Seychelles,SYC,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),0
49,Chad,TCD,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),23360
50,Togo,TGO,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),1860
51,Middle East & North Africa (IDA & IBRD countries),TMN,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),98310
52,Sub-Saharan Africa (IDA & IBRD countries),TSS,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),512960
53,Tunisia,TUN,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),3340
54,Tanzania,TZA,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),30680
55,Uganda,UGA,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),15070
56,South Africa,ZAF,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),17510
57,Zambia,ZMB,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),15170
58,Zimbabwe,ZWE,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),6090
